Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
1,1a42,general,Protein-Ligand,2.25,Kd=0.13nM,9.89,1999,carbonic anhydrase ii,BZU,9541386,46391388,E.C.4.2.1.1,"Protein Sci. v7 pp. 556-63, 1998",P00918
2,1avn,refined,Protein-Ligand,2,Kd=0.125mM,3.9,1997,carbonic anhydrase ii,HSM,9265618,46391469,E.C.4.2.1.1,"Biochemistry v36 pp. 10384-92, 1997",P00918
3,1azm,refined,Protein-Ligand,2,Ki=0.8uM,6.1,1994,human carbonic anhydrase I enzyme (HCAI),AZM,3735316,0,E.C.4.2.1.1,"(1986) J. Med. Chem., Vol.29, pp.1488-1494",P00915
4,1bcd,refined,Protein-Ligand,1.9,Ki=2nM,8.7,1993,carbonic anhydrase ii,FMS,8070585,46391534,E.C.4.2.1.1,"FEBS Lett. v350 pp. 319-22, 1994",P00918
5,1bn1,refined,Protein-Ligand,2.1,Kd=0.46nM,9.34,1999,carbonic anhydrase ii,AL5,9865942,46391565,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
6,1bn3,refined,Protein-Ligand,2.2,Kd=0.13nM,9.89,1999,carbonic anhydrase ii,AL6,9865942,46391566,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
7,1bn4,refined,Protein-Ligand,2.1,Kd=0.49nM,9.31,1999,carbonic anhydrase ii,AL9,9865942,46391567,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
8,1bnm,general,Protein-Ligand,2.6,Kd=0.10nM,10,1999,carbonic anhydrase,AL8,9865942,46391568,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
9,1bnn,refined,Protein-Ligand,2.3,Kd=0.10nM,10,1999,carbonic anhydrase ii,AL1,9865942,46391569,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
10,1bnq,refined,Protein-Ligand,2.4,Kd=0.32nM,9.49,1999,carbonic anhydrase ii,AL4,9865942,46391570,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
