Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
1,1aq7,general,Protein-Ligand,2.2,IC50=0.9uM,6.05,1998,trypsin,4-mer,,46391458,E.C.3.4.21.4,J.Am.Chem.Soc.v120;pp.595,P00760
2,1auj,general,Protein-Ligand,2.1,Ki=5.6nM,8.25,1998,trypsin,PPB,9341205,46391467,E.C.3.4.21.4,"Biochemistry v36 pp. 13180-6, 1997",P00760
3,1bju,refined,Protein-Ligand,1.8,Ki=16uM,4.8,1998,BETA-TRYPSIN,GP6,9836602,53812525,E.C.3.4.21.4,"Biochemistry. 1998, 37, 17068-17081.",P00760
4,1bjv,refined,Protein-Ligand,1.8,Ki=2.9uM,5.54,1998,BETA-TRYPSIN  ,GP8,9836602,53812526,E.C.3.4.21.4,"Biochemistry. 1998, 37, 17068-17081.",P00760
5,1bra,general,Protein-Ligand,2.2,Ki=15000uM,1.82,1994,trypsin beta D189G G226D,BEN,8478942,46391584,E.C.3.4.21.4,"J.Mol.Biol. v230 pp. 934-49, 1993",P00763
6,1bty,refined,Protein-Ligand,1.5,Ki=18.4uM,4.74,1995,bovine trypsin,BEN,12036355,0,E.C.3.4.21.4,"(2002) J. Med. Chem., Vol.45, pp.2469-2483",P00760
7,1c1r,refined,Protein-Ligand,1.37,Ki=0.0235uM,7.63,2000,trypsin beta,BAI,9468142,46391605,E.C.3.4.21.4,"Nature v391 pp. 608-12, 1998",P00760
8,1c5p,refined,Protein-Ligand,1.43,Ki=21uM,4.68,2000,trypsin beta,BAM,10779411,46391623,E.C.3.4.21.4,"Chem.Biol. v7 pp. 299-312, 2000",P00760
9,1c5q,refined,Protein-Ligand,1.43,Ki=0.44uM,6.36,2000,trypsin beta,ESI,10779411,46391624,E.C.3.4.21.4,"Chem.Biol. v7 pp. 299-312, 2000",P00760
10,1c5s,refined,Protein-Ligand,1.36,Ki=1.0uM,6,2000,trypsin beta,ESX,10779411,46391625,E.C.3.4.21.4,"Chem.Biol. v7 pp. 299-312, 2000",P00760
11,1c5t,refined,Protein-Ligand,1.37,Ki=80uM,4.1,2000,trypsin beta,ESP,10779411,46391626,E.C.3.4.21.4,"Chem.Biol. v7 pp. 299-312, 2000",P00760
12,1ce5,general,Protein-Ligand,1.9,Ki=18.4uM,4.74,1999,trypsin beta,BEN,10651279,46391647,E.C.3.4.21.4,"Proteins v37 pp. 641-53, 1999",P00760
13,1eb2,refined,Protein-Ligand,2,Ki=980nM,6.01,2002,trypsin,BPO,,46391782,E.C.3.4.21.4,J.Med.Chem.v45;pp.1221,P00760
14,1f0t,refined,Protein-Ligand,1.8,Ki=1000nM,6,2000,trypsin beta,PR1,10966741,46391846,E.C.3.4.21.4,"J.Med.Chem. v43 pp. 3226-32, 2000",P00760
15,1f0u,refined,Protein-Ligand,1.9,Ki=69nM,7.16,2000,trypsin beta,RPR,10966741,46391847,E.C.3.4.21.4,"J.Med.Chem. v43 pp. 3226-32, 2000",P00760
16,1g36,refined,Protein-Ligand,1.9,Ki=67nM,7.17,2001,trypsinogen,R11,11342132,46391952,E.C.3.4.21.4,"Structure v9 pp. 29-37, 2001",P00760
17,1g3b,general,Protein-Ligand,1.8,Ki=1.8uM,5.74,2001,trypsin beta,108,11152605,46391954,E.C.3.4.21.4,"J.Mol.Biol. v305 pp. 471-9, 2001",P00760
18,1g3c,general,Protein-Ligand,1.8,Ki=1.6uM,5.8,2001,trypsin beta,109,11152605,46391955,E.C.3.4.21.4,"J.Mol.Biol. v305 pp. 471-9, 2001",P00760
19,1g3d,refined,Protein-Ligand,1.8,Ki=2.8uM,5.55,2001,trypsin beta,108,11152605,46391956,E.C.3.4.21.4,"J.Mol.Biol. v305 pp. 471-9, 2001",P00760
20,1g3e,refined,Protein-Ligand,1.8,Ki=4.2uM,5.38,2001,trypsin beta,109,11152605,46391957,E.C.3.4.21.4,"J.Mol.Biol. v305 pp. 471-9, 2001",P00760
21,1gbt,general,Protein-Ligand,2,Ki=10mM,2,1994,Bovine beta trypsin,GBS,2231595,0,E.C.3.4.21.4,"(1990) J. Med. Chem., Vol.33, pp.2956-2961",P00760
22,1ggd,general,Protein-Ligand,1.5,Kd=1.6uM,5.8,2000,chymotrypsin gamma,FAF,11327865,46391999,E.C.3.4.21.1,"Biochemistry v40 pp. 2439-47, 2001",P00766
23,1ghz,refined,Protein-Ligand,1.39,Ki=16uM,4.8,2002,trypsin beta,120,11292354,46392004,E.C.3.4.21.4,"J.Mol.Biol. v307 pp. 1451-86, 2001",P00760
24,1gi1,refined,Protein-Ligand,1.42,Ki=3.4uM,5.47,2002,trypsin beta,BMZ,11292354,46392005,E.C.3.4.21.4,"J.Mol.Biol. v307 pp. 1451-86, 2001",P00760
25,1gi4,refined,Protein-Ligand,1.37,Ki=0.065uM,7.19,2002,trypsin beta,122,11292354,46392006,E.C.3.4.21.4,"J.Mol.Biol. v307 pp. 1451-86, 2001",P00760
26,1gi6,general,Protein-Ligand,1.49,Ki=0.60uM,6.22,2002,trypsin beta,124,11292354,46392007,E.C.3.4.21.4,"J.Mol.Biol. v307 pp. 1451-86, 2001",P00760
27,1gj6,refined,Protein-Ligand,1.5,Ki=0.10uM,7,2002,trypsin beta,132,11731301,46392013,E.C.3.4.21.4,"Chem.Biol. v8 pp. 1107-21, 2001",P00760
28,1h4w,refined,Protein-Ligand,1.7,Ki=22uM,4.66,2002,trypsin beta,BEN,11827488,46392090,E.C.3.4.21.4,"J.Mol.Biol. v315 pp. 1209-18, 2002",P35030
29,1j14,refined,Protein-Ligand,2.4,Ki=32.2uM,4.49,2002,trypsin beta,BEN,12527302,46392252,E.C.3.4.21.4,"J.MOL.BIOL. v325 pp. 963-77, 2003",P00763
30,1j15,general,Protein-Ligand,2,Ki=143uM,3.84,2002,"trypsin ii, anionic",BEN,12527302,46392253,E.C.3.4.21.4,"J.MOL.BIOL. v325 pp. 963-77, 2003",P00763
31,1j16,refined,Protein-Ligand,1.6,Ki=143uM,3.84,2002,trypsin beta,BEN,12527302,46392254,E.C.3.4.21.4,"J.MOL.BIOL. v325 pp. 963-77, 2003",P00763
32,1j17,refined,Protein-Ligand,2,Ki=6.05uM,5.22,2002,trypsin beta,ZEN,12527302,46392255,E.C.3.4.21.4,"J.MOL.BIOL. v325 pp. 963-77, 2003",P00763
33,1jrs,general,Protein-Ligand,1.8,Ki=0.4uM,6.4,1996,trypsin,3-mer,8845765,46392308,E.C.3.4.21.4,"Protein Sci. v5 pp. 752-8, 1996",P00760
34,1k1i,refined,Protein-Ligand,2.2,Kd=264nM,6.58,2001,trypsin beta,FD1,11676542,46392325,E.C.3.4.21.4,"J.Mol.Biol. v313 pp. 593-614, 2001",P00760
35,1k1j,refined,Protein-Ligand,2.2,Kd=28nM,7.55,2001,trypsin beta,FD2,11676542,46392326,E.C.3.4.21.4,J.Mol.Biol.v313;pp.593-614,P00760
36,1k1l,refined,Protein-Ligand,2.5,Kd=125nM,6.9,2001,trypsin beta,FD3,11676542,46392327,E.C.3.4.21.4,"J.Mol.Biol. v313 pp. 593-614, 2001",P00760
37,1k1m,refined,Protein-Ligand,2.2,Kd=40nM,7.4,2001,trypsin beta,FD4,11676542,46392328,E.C.3.4.21.4,"J.Mol.Biol. v313 pp. 593-614, 2001",P00760
38,1k1n,refined,Protein-Ligand,2,Kd=153nM,6.82,2001,trypsin beta,CCR,11676542,46392329,E.C.3.4.21.4,"J.Mol.Biol. v313 pp. 593-614, 2001",P00760
39,1k1o,refined,Protein-Ligand,2,Ki=675nM,6.17,2001,bovine trypsin,IGN,9934479,0,E.C.3.4.21.4,"(1998) Bioorg. Med. Chem. Lett., Vol.8, pp.3603-3608",P00760
40,1k1p,general,Protein-Ligand,1.9,IC50=11.9nM,7.92,2001,bovine trypsin,MEL,12781189,0,E.C.3.4.21.4,"(2003) Bioorg. Med. Chem. Lett., Vol.13, pp.2029-2033",P00760
41,1k2i,general,Protein-Ligand,1.8,IC50=0.78mM,3.11,2001,chymotrypsinogen a,SN1,11846564,46392334,E.C.3.4.21.1,"J.Mol.Biol. v314 pp. 519-25, 2001",P00766
42,1lqe,general,Protein-Ligand,2.2,Ki=1507nM,5.82,2003,trypsin,IMA,12061878,46392456,E.C.3.4.21.4,"J.Med.Chem. v45 pp. 2749-69, 2002",P00760
43,1nc6,general,Protein-Ligand,1.9,Ki=10nM,8,2003,trypsinogen,ABB,12930148,46392591,E.C.3.4.21.4,"J.Med.Chem. v46 pp. 3865-76, 2003",P00760
44,1o2h,refined,Protein-Ligand,1.77,Ki=0.068uM,7.17,2003,trypsin beta,CR3,12742021,46392679,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
45,1o2j,refined,Protein-Ligand,1.65,Ki=0.12uM,6.92,2003,trypsin beta,656,12742021,46392680,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
46,1o2k,general,Protein-Ligand,1.63,Ki=0.12uM,6.92,2003,trypsin beta,656,12742021,46392681,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
47,1o2n,refined,Protein-Ligand,1.5,Ki=0.81uM,6.09,2003,trypsin beta,762,12742021,46392682,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
48,1o2o,refined,Protein-Ligand,1.63,Ki=0.44uM,6.36,2003,trypsin beta,950,12742021,46392683,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
49,1o2p,general,Protein-Ligand,1.47,Ki=14uM,4.85,2003,trypsin beta,972,12742021,46392684,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
50,1o2q,refined,Protein-Ligand,1.5,Ki=0.021uM,7.68,2003,trypsin beta,991,12742021,46392685,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
51,1o2r,refined,Protein-Ligand,1.45,Ki=6.1uM,5.21,2003,trypsin beta,CR9,12742021,46392686,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
52,1o2s,general,Protein-Ligand,1.65,Ki=3.4uM,5.47,2003,trypsin beta,CR4,12742021,46392687,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
53,1o2t,general,Protein-Ligand,1.62,Ki=0.014uM,7.85,2003,trypsin beta,783,12742021,46392688,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
54,1o2u,general,Protein-Ligand,1.41,Ki=1.4uM,5.85,2003,trypsin beta,847,12742021,46392689,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
55,1o2v,general,Protein-Ligand,1.5,Ki=1.4uM,5.85,2003,trypsin beta,847,12742021,46392690,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
56,1o2w,refined,Protein-Ligand,1.38,Ki=1.4uM,5.85,2003,trypsin beta,847,12742021,46392691,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
57,1o2x,general,Protein-Ligand,1.46,Ki=1.4uM,5.85,2003,trypsin beta,847,12742021,46392692,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
