,pdbid,binding_affinity
0,4llx,2.89
1,5c28,5.66
2,3uuo,7.96
3,3ui7,9.00
4,5c2h,11.09
5,2v00,3.66
6,3wz8,5.82
7,3pww,7.32
8,3prs,7.82
9,3uri,9.00
10,4m0z,5.19
11,4m0y,6.46
12,3qgy,7.80
13,4qd6,8.64
14,4rfm,10.05
15,4cr9,4.10
16,4cra,7.22
17,4x6p,8.30
18,4crc,8.72
19,4ty7,9.52
20,5aba,2.98
21,5a7b,3.57
22,4agn,3.97
23,4agp,4.69
24,4agq,5.01
25,3bgz,6.26
26,3jya,6.89
27,2c3i,7.60
28,4k18,8.96
29,5dwr,11.22
30,3mss,4.66
31,3k5v,6.30
32,3pyy,6.86
33,2v7a,8.30
34,4twp,10.00
35,3wtj,6.53
36,3zdg,7.10
37,3u8k,8.66
38,4qac,9.40
39,3u8n,10.17
40,1a30,4.30
41,2qnq,6.11
42,1g2k,7.96
43,1eby,9.70
44,3o9i,11.82
45,4lzs,4.80
46,3u5j,5.61
47,4wiv,6.26
48,4ogj,6.79
49,3p5o,7.30
50,1ps3,2.28
51,3dx1,3.58
52,3d4z,4.89
53,3dx2,6.82
54,3ejr,8.57
55,3l7b,2.40
56,4eky,3.52
57,3g2n,4.09
58,3syr,5.10
59,3ebp,5.91
60,2w66,4.05
61,2w4x,4.85
62,2wca,5.60
63,2xj7,6.66
64,2vvn,7.30
65,3aru,3.22
66,3arv,5.64
67,3ary,6.00
68,3arq,6.40
69,3arp,7.15
70,4ih5,4.11
71,4ih7,5.24
72,3cj4,6.51
73,4eo8,8.15
74,3gnw,9.10
75,1gpk,5.37
76,1gpn,6.48
77,1h23,8.35
78,1h22,9.10
79,1e66,9.89
80,3f3a,4.19
81,3f3c,6.02
82,4mme,6.50
83,3f3d,7.16
84,3f3e,7.70
85,2wbg,4.45
86,2cbv,5.48
87,2j78,6.42
88,2j7h,7.19
89,2cet,8.02
90,3udh,2.85
91,3rsx,4.41
92,4djv,6.72
93,2vkm,8.74
94,4gid,10.77
95,4jfs,5.27
96,4j28,5.70
97,2wvt,6.12
98,2xii,7.20
99,4pcs,7.85
100,3rr4,4.55
101,1s38,5.15
102,1r5y,6.46
103,3gc5,7.26
104,3ge7,8.70
105,4dli,5.62
106,2zb1,6.32
107,4f9w,6.94
108,3e92,8.00
109,3e93,8.85
110,4owm,2.96
111,3twp,3.92
112,3r88,4.82
113,4gkm,5.17
114,3qqs,5.82
