,pdbid,binding_affinity
0,3zzf,0.40
1,3gww,0.45
2,1w8l,0.49
3,3fqa,0.49
4,1zsb,0.60
5,4obv,0.75
6,1wkm,0.82
7,3k41,0.82
8,4eu3,0.82
9,2w97,0.96
10,1p0y,1.00
11,2b1r,1.00
12,2d2v,1.00
13,2a31,1.01
14,1aw1,1.05
15,1maw,1.10
16,3fl9,1.11
17,4lh2,1.24
18,4to8,1.24
19,4fci,1.26
20,4fck,1.26
21,4clp,1.27
22,1f9g,1.28
23,1a0t,1.30
24,1b74,1.30
25,2fah,1.30
26,2igw,1.31
27,2vl1,1.35
28,3nm6,1.35
29,1qpb,1.36
30,1hty,1.40
31,1o4l,1.40
32,1o4m,1.40
33,1o4n,1.40
34,2hdq,1.40
35,3eor,1.40
36,3e81,1.43
37,1ozv,1.44
38,1utp,1.44
39,1tnk,1.49
40,4bh4,1.49
41,4lh3,1.52
42,5ct1,1.52
43,3mwe,1.54
44,4amw,1.55
45,1iig,1.57
46,3rup,1.57
47,5cs5,1.58
48,2b1q,1.59
49,1w8m,1.60
50,3itc,1.60
51,2it4,1.62
52,1a7t,1.64
53,4d63,1.64
54,1hgj,1.66
55,1rdj,1.66
56,2o9r,1.68
57,4qsw,1.68
58,1d2v,1.70
59,1jou,1.70
60,2sfp,1.70
61,3gf2,1.70
62,3oay,1.70
63,4tyb,1.70
64,3g6m,1.71
65,2hdr,1.72
66,3ern,1.72
67,3vzg,1.72
68,3zst,1.72
69,1u2y,1.74
70,4qsx,1.74
71,1s8j,1.77
72,4bgx,1.77
73,3f39,1.78
74,2zgm,1.79
75,1ga8,1.80
76,3rxh,1.80
77,1af6,1.82
78,1bra,1.82
79,1d5r,1.82
80,1y1m,1.82
81,3eqb,1.82
82,4ahv,1.82
83,1rdn,1.84
84,1fd7,1.85
85,3khv,1.85
86,1tnl,1.88
87,2ay2,1.88
88,4x8s,1.89
89,1f2p,1.90
90,4mrh,1.90
91,1f2o,1.91
92,1efi,1.92
93,3ehn,1.92
94,4bh3,1.92
95,2rjr,1.94
96,4mrf,1.95
97,1tnj,1.96
98,2gga,1.96
99,1wdq,1.98
100,3i3d,1.99
101,1gbt,2.00
102,1ing,2.00
103,2bmv,2.00
104,2hds,2.00
105,2r58,2.00
106,3c2f,2.00
107,3g2y,2.00
108,3pce,2.00
109,3rv3,2.00
110,4awj,2.00
111,4ctk,2.00
112,4kz5,2.00
113,4qsu,2.00
114,4qsv,2.00
115,4u58,2.00
116,4ty8,2.03
117,2ks9,2.04
118,1jfh,2.05
119,4e4a,2.05
120,4ty9,2.05
121,4x8t,2.05
122,1qq9,2.06
123,1rdi,2.06
124,2zg3,2.06
125,4u54,2.06
126,3ao4,2.07
127,4b0c,2.07
128,3rxp,2.08
129,1njj,2.10
130,2zg1,2.10
131,4aml,2.10
132,4cs9,2.10
133,3uf9,2.11
134,1qx1,2.12
135,2w8w,2.12
136,3gv9,2.12
137,1p2g,2.13
138,1uxb,2.15
139,3rxg,2.15
140,4b0j,2.15
141,4q90,2.15
142,5cs3,2.15
143,2ay9,2.16
144,4tim,2.16
145,3gqz,2.17
146,3l7d,2.18
147,4ahr,2.19
148,4ahs,2.19
149,4amx,2.19
150,4jdf,2.19
151,4mre,2.19
152,1w1v,2.20
153,2vvo,2.20
154,4eh8,2.20
155,1x8d,2.21
156,4g0z,2.21
157,1icj,2.22
158,1m0n,2.22
159,2aac,2.22
160,4aci,2.22
161,4uru,2.22
162,4ury,2.22
163,4x11,2.22
164,1ajp,2.23
165,2igv,2.23
166,3ao5,2.23
167,3i3b,2.23
168,1rdl,2.24
169,2ay8,2.24
170,2os9,2.24
171,1ukt,2.25
172,1ew8,2.26
173,3ao1,2.26
174,4eh9,2.26
175,4np2,2.26
176,1hge,2.27
177,1uto,2.27
178,4ahu,2.27
179,4mfe,2.27
180,1ps3,2.28
181,2rjs,2.28
182,3fu0,2.28
183,3ip8,2.28
184,2ay1,2.29
185,4ddk,2.29
186,4ehv,2.29
187,1hyv,2.30
188,1inh,2.30
189,1jdj,2.30
190,1n1g,2.30
191,1o4g,2.30
192,1uxa,2.30
193,1w1p,2.30
194,2ay7,2.30
195,2hdu,2.30
196,2xix,2.30
197,2xlc,2.30
198,3dyo,2.30
199,3kgq,2.30
200,3mhw,2.30
201,3pcg,2.30
202,3rv4,2.30
203,4b6e,2.30
204,4e3d,2.30
205,4g0y,2.30
206,4jsz,2.30
207,4led,2.30
208,4wh7,2.30
209,1m0o,2.31
210,4y0a,2.31
211,2qve,2.32
212,5aol,2.32
213,1z6d,2.34
214,4iie,2.34
215,1qi0,2.35
216,3gtc,2.35
217,4k3k,2.35
218,1o4j,2.36
219,3g2z,2.36
220,3t0d,2.37
221,4jck,2.37
222,6rnt,2.37
223,3f6e,2.38
224,4aj2,2.38
225,1f73,2.39
226,1nwl,2.39
227,4nyt,2.39
228,4tya,2.39
229,1cam,2.40
230,2wi1,2.40
231,3dxg,2.40
232,3l7b,2.40
233,3pcb,2.40
234,3t2t,2.40
235,4u5l,2.40
236,4zsm,2.40
237,1o4r,2.41
238,2wsx,2.41
239,4u5s,2.41
240,4u5o,2.42
241,1o4h,2.44
242,1oba,2.44
243,1t4s,2.44
244,2i2b,2.44
245,2xiy,2.44
246,3ked,2.44
247,3l7c,2.44
248,3mjl,2.44
249,4d62,2.44
250,1gbq,2.46
251,1o4o,2.46
252,2aez,2.46
253,3l79,2.46
254,4ah9,2.46
255,4ddm,2.46
256,4eh6,2.46
257,4x8u,2.46
258,1tok,2.47
259,1utl,2.47
260,3rik,2.47
261,4gne,2.47
262,1gyx,2.48
263,4u5n,2.48
264,1o4q,2.49
265,4efk,2.49
266,4ej2,2.49
267,4kz7,2.49
268,1ai4,2.50
269,3g30,2.51
270,4ctj,2.51
271,1rq2,2.52
272,1wdr,2.52
273,3ad7,2.52
274,3bf1,2.52
275,3fq7,2.52
276,3gr2,2.52
277,3mfv,2.52
278,3vdb,2.52
279,4e3f,2.52
280,4g0q,2.52
281,4urz,2.52
282,4hj2,2.53
