,pdbid,1
0,3zzf,0.4
1,3gww,0.45
2,1w8l,0.49
3,3fqa,0.49
4,1zsb,0.6
5,4obv,0.75
6,1wkm,0.82
7,3k41,0.82
8,4eu3,0.82
9,2w97,0.96
10,1p0y,1.0
11,2b1r,1.0
12,2d2v,1.0
13,1aw1,1.05
14,1maw,1.1
15,3fl9,1.11
16,5eb2,1.11
17,4lh2,1.24
18,4to8,1.24
19,4fci,1.26
20,4fck,1.26
21,4clp,1.27
22,1f9g,1.28
23,1a0t,1.3
24,1b74,1.3
25,2fah,1.3
26,5oxm,1.3
27,2igw,1.31
28,5mnc,1.31
29,5mny,1.31
30,5moo,1.31
31,2vl1,1.35
32,3nm6,1.35
33,1qpb,1.36
34,1hty,1.4
35,1o4l,1.4
36,1o4m,1.4
37,1o4n,1.4
38,2hdq,1.4
39,3eor,1.4
40,3e81,1.43
41,1ozv,1.44
42,1utp,1.44
43,5eb3,1.45
44,1tnk,1.49
45,4bh4,1.49
46,5vqe,1.49
47,4lh3,1.52
48,5ct1,1.52
49,5ele,1.52
50,3mwe,1.54
51,4amw,1.55
52,1iig,1.57
53,3rup,1.57
54,5cs5,1.58
55,5ofv,1.58
56,2b1q,1.59
57,1w8m,1.6
58,3itc,1.6
59,2it4,1.62
60,1a7t,1.64
61,4d63,1.64
62,1hgj,1.66
63,1rdj,1.66
64,2o9r,1.68
65,4qsw,1.68
66,1d2v,1.7
67,1jou,1.7
68,2sfp,1.7
69,3gf2,1.7
70,3oay,1.7
71,4tyb,1.7
72,6cex,1.7
73,6cf5,1.7
74,3g6m,1.71
75,2hdr,1.72
76,3ern,1.72
77,3vzg,1.72
78,3zst,1.72
79,5y61,1.72
80,1u2y,1.74
81,4qsx,1.74
82,5y62,1.74
83,5ggj,1.75
84,1s8j,1.77
85,4bgx,1.77
86,3f39,1.78
87,5ggl,1.78
88,2zgm,1.79
89,1ga8,1.8
90,3rxh,1.8
91,1af6,1.82
92,1bra,1.82
93,1d5r,1.82
94,1y1m,1.82
95,3eqb,1.82
96,4ahv,1.82
97,1rdn,1.84
98,1fd7,1.85
99,3khv,1.85
100,1mwt,1.88
101,1tnl,1.88
102,2ay2,1.88
103,4x8s,1.89
104,1f2p,1.9
105,4mrh,1.9
106,1f2o,1.91
107,1efi,1.92
108,3ehn,1.92
109,4bh3,1.92
110,2rjr,1.94
111,5nn4,1.94
112,4mrf,1.95
113,1tnj,1.96
114,2gga,1.96
115,5oxn,1.96
116,1wdq,1.98
117,3i3d,1.99
118,1gbt,2.0
119,1ing,2.0
120,2bmv,2.0
121,2hds,2.0
122,2r58,2.0
123,3c2f,2.0
124,3g2y,2.0
125,3pce,2.0
126,3rv3,2.0
127,4awj,2.0
128,4ctk,2.0
129,4kz5,2.0
130,4qsu,2.0
131,4qsv,2.0
132,4u58,2.0
133,4y4g,2.0
134,6evq,2.0
135,4ty8,2.03
136,5ekx,2.03
137,5nzq,2.03
138,2ks9,2.04
139,1jfh,2.05
140,4e4a,2.05
141,4ty9,2.05
142,4x8t,2.05
143,5eiw,2.05
144,1qq9,2.06
145,1rdi,2.06
146,2zg3,2.06
147,4u54,2.06
148,3ao4,2.07
149,4b0c,2.07
150,3rxp,2.08
151,5tyh,2.08
152,1njj,2.1
153,2zg1,2.1
154,4aml,2.1
155,4cs9,2.1
156,3uf9,2.11
157,1qx1,2.12
158,2w8w,2.12
159,3gv9,2.12
160,1p2g,2.13
161,1uxb,2.15
162,3rxg,2.15
163,4b0j,2.15
164,4q90,2.15
165,5cs3,2.15
166,6fap,2.15
167,6fi1,2.15
168,2ay9,2.16
169,4tim,2.16
170,5fe6,2.16
171,6ghj,2.16
172,3gqz,2.17
173,4y3j,2.17
174,5oxk,2.17
175,5z5f,2.17
176,6gmx,2.17
177,3l7d,2.18
178,6g47,2.18
179,4ahr,2.19
180,4ahs,2.19
181,4amx,2.19
182,4jdf,2.19
183,4mre,2.19
184,5nzp,2.19
185,1w1v,2.2
186,2vvo,2.2
187,4eh8,2.2
188,1x8d,2.21
189,4g0z,2.21
190,1icj,2.22
191,1m0n,2.22
192,2aac,2.22
193,4aci,2.22
194,4uru,2.22
195,4ury,2.22
196,4x11,2.22
197,5fsb,2.22
198,5hcl,2.22
199,5jqb,2.22
200,1ajp,2.23
201,2igv,2.23
202,3ao5,2.23
203,3i3b,2.23
204,1rdl,2.24
205,2ay8,2.24
206,2os9,2.24
207,5f6v,2.24
208,5m9w,2.24
209,5nzo,2.24
210,1ukt,2.25
211,1ew8,2.26
212,3ao1,2.26
213,4eh9,2.26
214,4np2,2.26
215,5v6u,2.26
216,1hge,2.27
217,1uto,2.27
218,4ahu,2.27
219,4mfe,2.27
220,1ps3,2.28
221,2rjs,2.28
222,3fu0,2.28
223,3ip8,2.28
224,2ay1,2.29
225,4ddk,2.29
226,4ehv,2.29
227,5fnj,2.29
228,1hyv,2.3
229,1inh,2.3
230,1jdj,2.3
231,1n1g,2.3
232,1o4g,2.3
233,1uxa,2.3
234,1w1p,2.3
235,2ay7,2.3
236,2hdu,2.3
237,2xix,2.3
238,2xlc,2.3
239,3dyo,2.3
240,3kgq,2.3
241,3mhw,2.3
242,3pcg,2.3
243,3rv4,2.3
244,4b6e,2.3
245,4e3d,2.3
246,4g0y,2.3
247,4jsz,2.3
248,4led,2.3
249,4wh7,2.3
250,5enc,2.3
251,5eni,2.3
252,5enj,2.3
253,5g42,2.3
254,6gmq,2.3
255,1m0o,2.31
256,4y0a,2.31
257,5mz8,2.31
258,2qve,2.32
259,5aol,2.32
260,1z6d,2.34
261,4iie,2.34
262,5elf,2.34
263,1qi0,2.35
264,3gtc,2.35
265,4k3k,2.35
266,4y3y,2.35
267,1o4j,2.36
268,3g2z,2.36
269,5fsc,2.36
270,3t0d,2.37
271,4jck,2.37
272,6rnt,2.37
273,3f6e,2.38
274,4aj2,2.38
275,1f73,2.39
276,1nwl,2.39
277,4nyt,2.39
278,4tya,2.39
279,1cam,2.4
280,2wi1,2.4
281,3dxg,2.4
282,3l7b,2.4
283,3pcb,2.4
284,3t2t,2.4
285,4u5l,2.4
286,4y38,2.4
287,4zsm,2.4
288,1o4r,2.41
289,2wsx,2.41
290,4u5s,2.41
291,4u5o,2.42
292,5os3,2.43
293,1o4h,2.44
294,1oba,2.44
295,1t4s,2.44
296,2i2b,2.44
297,2xiy,2.44
298,3ked,2.44
299,3l7c,2.44
300,3mjl,2.44
301,4d62,2.44
302,1gbq,2.46
303,1o4o,2.46
304,2aez,2.46
305,3l79,2.46
306,4ah9,2.46
307,4ddm,2.46
308,4eh6,2.46
309,4x8u,2.46
310,5aqh,2.46
311,1tok,2.47
312,1utl,2.47
313,3rik,2.47
314,4gne,2.47
315,4y4j,2.47
316,5dv4,2.47
317,5jal,2.47
318,6fhq,2.47
319,1gyx,2.48
320,4u5n,2.48
321,4ze6,2.48
322,5mn1,2.48
323,5mnb,2.48
324,5mnx,2.48
325,5mon,2.48
326,1o4q,2.49
327,4efk,2.49
328,4ej2,2.49
329,4kz7,2.49
330,1ai4,2.5
331,3g30,2.51
332,4ctj,2.51
333,1rq2,2.52
334,1wdr,2.52
335,3ad7,2.52
336,3bf1,2.52
337,3fq7,2.52
338,3gr2,2.52
339,3mfv,2.52
340,3vdb,2.52
341,4e3f,2.52
342,4g0q,2.52
343,4urz,2.52
344,5f6d,2.52
345,5f6u,2.52
346,4hj2,2.53
347,1iup,2.54
348,1il3,2.55
349,1kf0,2.55
350,3b3s,2.55
351,3ovn,2.55
352,5eif,2.55
353,5n53,2.55
354,5os0,2.55
355,1gwv,2.57
356,2ria,2.57
357,2wq4,2.57
358,3kgp,2.57
359,5v4q,2.57
360,2ay5,2.59
361,2jst,2.59
362,3gvb,2.59
363,4o3a,2.59
364,4o3c,2.59
365,4wef,2.59
366,5tpb,2.59
367,1o4p,2.6
368,2c4v,2.6
369,2r5a,2.6
370,3gwv,2.6
371,3rxf,2.6
372,4up5,2.6
373,5g46,2.6
374,1cze,2.62
375,1w1y,2.62
376,2kfh,2.62
377,3f37,2.62
378,3f38,2.62
379,3fk1,2.62
380,3rxl,2.62
381,4lnf,2.62
382,4lno,2.62
383,5foo,2.62
384,5lvd,2.62
385,1ajn,2.63
386,1g5f,2.64
387,1o4i,2.64
388,3p1d,2.64
389,4i8x,2.64
390,4q7w,2.64
391,4q8y,2.64
392,4ufl,2.64
393,6fhu,2.64
394,5ey0,2.65
395,1il5,2.66
396,3a1e,2.66
397,3rxb,2.66
398,4y2p,2.66
399,5eld,2.66
400,3lvw,2.67
401,1hgi,2.68
402,1o8b,2.68
403,2q72,2.68
404,3rxk,2.68
405,4b3c,2.68
406,4b3d,2.68
407,5aqj,2.68
408,5aqp,2.68
409,3elc,2.69
410,4usw,2.69
411,5k5s,2.69
412,1br5,2.7
413,1gym,2.7
414,1lt5,2.7
415,1tc1,2.7
416,1ylv,2.7
417,2fzc,2.7
418,2ha4,2.7
419,2krd,2.7
420,2ohk,2.7
421,2ow6,2.7
422,2uyn,2.7
423,3bra,2.7
424,3ftz,2.7
425,3fud,2.7
426,3fuf,2.7
427,3fuh,2.7
428,3gk2,2.7
429,3gsg,2.7
430,3hvg,2.7
431,3rqw,2.7
432,3sl0,2.7
433,3zsw,2.7
434,3zsz,2.7
435,3zt1,2.7
436,4h4b,2.7
437,4okp,2.7
438,4old,2.7
439,4wks,2.7
440,4ypf,2.7
441,4yrc,2.7
442,4yrg,2.7
443,4yrr,2.7
444,5aok,2.7
445,6fty,2.7
446,4kpz,2.71
447,1pfu,2.72
448,2rkd,2.72
449,3p4r,2.72
450,5fsx,2.72
451,1dg9,2.74
452,2qwb,2.74
453,2vyt,2.74
454,4m6u,2.74
455,4ndu,2.74
456,5os2,2.74
457,1rql,2.75
458,5oyd,2.75
459,1ny2,2.76
460,4bt5,2.76
461,5er4,2.76
462,2bet,2.77
463,2p3o,2.77
464,3fcq,2.77
465,3l0n,2.77
466,4a4h,2.77
467,4g5y,2.77
468,4kz3,2.77
469,4urv,2.77
470,4ykk,2.77
471,5aqn,2.77
472,5oug,2.77
473,6er4,2.77
474,2yiv,2.78
475,3ftw,2.78
476,4yrt,2.78
477,5os4,2.78
478,2bge,2.8
479,2bza,2.8
480,3zt4,2.8
481,4kz8,2.8
482,4urw,2.8
483,4yw2,2.8
484,5fbi,2.8
485,5fov,2.8
486,5hki,2.8
487,5ofw,2.8
488,3djx,2.81
489,4eh4,2.81
490,4oyt,2.81
491,4rrg,2.81
492,1czc,2.82
493,1p17,2.82
494,2a3a,2.82
495,2rib,2.82
496,2w6z,2.82
497,2xj0,2.82
498,2yc0,2.82
499,3fue,2.82
500,3lka,2.82
501,3ppr,2.82
502,4dsu,2.82
503,4k7i,2.82
504,4pb1,2.82
505,4z46,2.82
506,5aip,2.82
507,6cw4,2.82
508,6evm,2.82
509,6mj7,2.82
510,4yz5,2.83
511,3fu3,2.84
512,3moh,2.84
513,3zt2,2.84
514,4cgj,2.84
515,1il4,2.85
516,2a29,2.85
517,2ork,2.85
518,3atk,2.85
519,3k3g,2.85
520,3rxa,2.85
521,3udh,2.85
522,4luv,2.85
523,4mlt,2.85
524,4x47,2.85
525,4ym2,2.85
526,5aqo,2.85
527,5th4,2.85
528,3qx8,2.86
529,3zt3,2.86
530,4ouj,2.86
531,4pd5,2.86
532,5z1c,2.86
533,4fgz,2.87
534,5thj,2.87
535,1e34,2.88
536,2woq,2.88
537,4a4f,2.88
538,4ucv,2.88
539,1cet,2.89
540,1iih,2.89
541,1ugp,2.89
542,2k2r,2.89
543,2wpb,2.89
544,2wtx,2.89
545,3f36,2.89
546,3g31,2.89
547,4b35,2.89
548,4cd8,2.89
549,4gqq,2.89
550,4kzb,2.89
551,4llx,2.89
552,4u5u,2.89
553,4urx,2.89
554,5aes,2.89
555,5flt,2.89
556,5ngz,2.89
557,5orv,2.89
558,6b7b,2.89
559,6f6s,2.89
560,6mvu,2.89
561,3c2u,2.9
562,5aom,2.9
563,5dv2,2.9
564,1ms0,2.91
565,2ay4,2.91
566,2pri,2.91
567,4kc1,2.91
568,1eef,2.92
569,1h2k,2.92
570,1o4k,2.92
571,1p6e,2.92
572,1zp5,2.92
573,2aa9,2.92
574,2aay,2.92
575,2fkf,2.92
576,2fw6,2.92
577,2fwp,2.92
578,2kfg,2.92
579,3alt,2.92
580,3iaf,2.92
581,3k8c,2.92
582,4ai5,2.92
583,4ef6,2.92
584,4lm3,2.92
585,4u4s,2.92
586,4x14,2.92
587,4y2q,2.92
