,pdbid,binding_affinity
0,2r58,2.00
1,3c2f,2.00
2,3g2y,2.00
3,3pce,2.00
4,4qsu,2.00
5,4qsv,2.00
6,1jfh,2.05
7,4u54,2.06
8,3ao4,2.07
9,4cs9,2.10
10,2w8w,2.12
11,3gv9,2.12
12,4q90,2.15
13,5cs3,2.15
14,4tim,2.16
15,3gqz,2.17
16,3l7d,2.18
17,4ahr,2.19
18,4ahs,2.19
19,4mre,2.19
20,1x8d,2.21
21,4g0z,2.21
22,1m0n,2.22
23,2aac,2.22
24,4aci,2.22
25,4ury,2.22
26,4x11,2.22
27,1ajp,2.23
28,2igv,2.23
29,3ao5,2.23
30,3i3b,2.23
31,1ew8,2.26
32,3ao1,2.26
33,4np2,2.26
34,1uto,2.27
35,4ahu,2.27
36,1ps3,2.28
37,3ip8,2.28
38,4ddk,2.29
39,3dyo,2.30
40,3kgq,2.30
41,3mhw,2.30
42,3pcg,2.30
43,3rv4,2.30
44,4g0y,2.30
45,4jsz,2.30
46,1m0o,2.31
47,4y0a,2.31
48,5aol,2.32
49,4iie,2.34
50,3gtc,2.35
51,3g2z,2.36
52,3t0d,2.37
53,6rnt,2.37
54,3f6e,2.38
55,1f73,2.39
56,1nwl,2.39
57,3dxg,2.40
58,3l7b,2.40
59,4u5s,2.41
60,4u5o,2.42
61,1oba,2.44
62,2i2b,2.44
63,3l7c,2.44
64,3mjl,2.44
65,3l79,2.46
66,4ddm,2.46
67,4x8u,2.46
68,1tok,2.47
69,1utl,2.47
70,1gyx,2.48
71,4u5n,2.48
72,4efk,2.49
73,4kz7,2.49
74,1ai4,2.50
75,3g30,2.51
76,3bf1,2.52
77,3gr2,2.52
78,3mfv,2.52
79,3vdb,2.52
80,4g0q,2.52
81,4urz,2.52
82,4hj2,2.53
83,3b3s,2.55
84,3ovn,2.55
85,1gwv,2.57
86,3kgp,2.57
87,3gvb,2.59
88,4o3c,2.59
89,2r5a,2.60
90,4up5,2.60
91,3f37,2.62
92,3fk1,2.62
93,1ajn,2.63
94,4i8x,2.64
95,4q7w,2.64
96,4q8y,2.64
97,4ufl,2.64
98,3a1e,2.66
99,3lvw,2.67
100,4b3c,2.68
101,4b3d,2.68
102,3elc,2.69
103,2fzc,2.70
104,2uyn,2.70
105,3bra,2.70
106,1pfu,2.72
107,2rkd,2.72
108,2qwb,2.74
109,2vyt,2.74
110,4m6u,2.74
111,4ndu,2.74
112,1rql,2.75
113,4bt5,2.76
114,2bet,2.77
115,3fcq,2.77
116,4kz3,2.77
117,4ykk,2.77
118,2bza,2.80
119,3djx,2.81
120,4rrg,2.81
121,3lka,2.82
122,3ppr,2.82
123,4dsu,2.82
124,4k7i,2.82
125,3moh,2.84
126,3zt2,2.84
127,3udh,2.85
128,3qx8,2.86
129,3zt3,2.86
130,4ouj,2.86
131,1cet,2.89
132,1iih,2.89
133,1ugp,2.89
134,3g31,2.89
135,4b35,2.89
136,4gqq,2.89
137,4kzb,2.89
138,4llx,2.89
139,3c2u,2.90
140,1h2k,2.92
141,2fw6,2.92
142,3alt,2.92
143,3k8c,2.92
144,4ai5,2.92
145,4ef6,2.92
146,4lm3,2.92
147,4u4s,2.92
148,4y2q,2.92
149,5ct2,2.92
150,1tng,2.93
151,2vmc,2.94
152,1f4e,2.96
153,2w8j,2.96
154,3dhv,2.96
155,3g34,2.96
156,3imc,2.96
157,4dst,2.96
158,4mrg,2.96
159,4owm,2.96
160,2hw2,2.97
161,4ceb,2.97
162,3ckb,2.98
163,3djq,2.98
164,4ibc,2.98
165,5aba,2.98
166,4bps,2.99
167,1ecq,3.00
168,1ws4,3.00
169,2q8h,3.00
170,2rka,3.00
171,2v3u,3.00
172,3ime,3.00
173,4b2i,3.00
174,4k0o,3.00
175,4l51,3.00
176,4llk,3.00
177,4r3w,3.00
178,4u0w,3.00
179,1utm,3.01
180,4g0p,3.01
181,2vmd,3.02
182,4q81,3.02
183,1ogd,3.03
184,2ha3,3.03
185,3adv,3.03
186,4lm2,3.03
187,4qp2,3.03
188,5aoi,3.03
189,1rtf,3.04
190,3t08,3.04
191,3t1m,3.04
192,4i7k,3.04
193,4lm4,3.04
194,1f74,3.05
195,1uj5,3.05
196,1uj6,3.05
197,4g5f,3.05
198,2jfh,3.06
199,1rnm,3.07
200,3mof,3.07
201,1y1z,3.08
202,1ec9,3.10
203,2xdl,3.10
204,3buf,3.10
205,3f78,3.10
206,4cjr,3.10
207,4kz6,3.10
208,3c2r,3.11
209,4bt3,3.12
210,4cgi,3.12
211,1ax0,3.13
212,5c5t,3.13
213,2ya7,3.14
214,4b34,3.14
215,1e6q,3.15
216,4de5,3.15
217,4fzj,3.15
218,4lw1,3.15
219,2ymd,3.16
220,3f34,3.16
221,1lbk,3.18
222,1ro7,3.18
223,3bug,3.18
224,3dxh,3.19
225,3g1v,3.19
226,4gzx,3.19
227,1s5z,3.21
228,1br6,3.22
229,1e6s,3.22
230,1ew9,3.22
231,1k1y,3.22
232,1tog,3.22
233,1zc9,3.22
234,2ri9,3.22
235,2uy3,3.22
236,3aru,3.22
237,4n5d,3.22
238,1px4,3.23
239,3zsy,3.23
240,4lm1,3.23
241,4unp,3.23
242,3qfz,3.24
243,4b2l,3.24
244,4qlk,3.24
245,1v2j,3.25
246,3ta1,3.25
247,4lm0,3.25
248,3t1l,3.26
249,5yas,3.26
250,3ioe,3.27
251,1bcu,3.28
252,3d52,3.28
253,3tfu,3.28
254,3zsx,3.28
255,4fl1,3.28
256,1d7j,3.30
257,1phw,3.30
258,1tpw,3.30
259,2vw2,3.30
260,3aaq,3.30
261,3hcm,3.30
262,4ddh,3.30
263,4jss,3.30
264,4mrw,3.30
265,4msa,3.30
266,4np3,3.30
267,1i2s,3.31
268,1pzp,3.31
269,1pzo,3.32
270,2wk6,3.32
271,4cjp,3.32
272,4i7j,3.32
273,188l,3.33
274,1jlr,3.33
275,2pnc,3.33
276,4ab9,3.33
277,4b0b,3.33
278,4b5t,3.33
279,4b5w,3.33
280,3f33,3.34
281,4b32,3.34
282,4bt4,3.34
283,4cp5,3.34
284,3c2o,3.35
285,3pwk,3.35
286,4lkq,3.35
287,2vc7,3.36
288,4cj4,3.36
289,187l,3.37
290,1tnh,3.37
291,1v2u,3.37
292,3d8z,3.37
293,3n35,3.37
294,4b33,3.37
295,2fzg,3.38
296,3tay,3.38
297,3w07,3.38
298,4qll,3.38
299,1toj,3.39
300,4ipn,3.39
301,4lhm,3.39
302,1bxr,3.40
303,1f8d,3.40
304,1ikt,3.40
305,1l83,3.40
306,1m83,3.40
307,1uz4,3.40
308,2vvp,3.40
309,3d8y,3.40
310,3jzh,3.40
311,4abe,3.40
312,2v2c,3.41
313,2qtn,3.42
314,2sim,3.42
315,2w08,3.42
316,3iob,3.42
317,4llj,3.42
318,4n8q,3.42
319,2xog,3.43
320,3axz,3.43
321,4umc,3.44
322,3nik,3.45
323,1moq,3.46
324,3muz,3.46
325,4k5p,3.46
326,4tz2,3.46
327,3ta0,3.47
328,4epy,3.47
329,4h42,3.47
330,2p3i,3.48
331,3g1d,3.48
332,3gx0,3.48
333,3nyd,3.48
334,4k7n,3.48
335,1c5o,3.49
336,1utn,3.49
337,4avs,3.49
338,4b5s,3.49
339,4i7p,3.50
340,2r0h,3.51
341,5cp9,3.51
342,1jys,3.52
343,2j27,3.52
344,2vw1,3.52
345,3lcu,3.52
346,3mfw,3.52
347,4eky,3.52
348,4mrz,3.52
349,185l,3.54
350,3obq,3.54
351,1v2r,3.55
352,2cle,3.55
353,2qwc,3.55
354,4aji,3.55
355,5btx,3.55
356,1h46,3.57
357,1np0,3.57
358,3ff3,3.57
359,4abg,3.57
360,4ck3,3.57
361,4ibb,3.57
362,4q8x,3.57
363,5a7b,3.57
364,3dx1,3.58
365,1nli,3.59
366,2gsu,3.59
367,4cjq,3.59
368,4q7v,3.59
369,1d7i,3.60
370,2fzk,3.60
371,2qpu,3.60
372,2xdk,3.60
373,3afk,3.60
374,3b3x,3.60
375,3g0i,3.60
376,3jdw,3.60
377,3m3o,3.60
378,4b3b,3.60
379,4c1y,3.60
380,3jzj,3.61
381,3sk2,3.61
382,1pb9,3.62
383,4bkt,3.62
384,4rrf,3.62
385,5dqe,3.63
386,1gyy,3.64
387,2azr,3.64
388,2rk8,3.64
389,4iuo,3.64
390,4agl,3.65
391,2qv7,3.66
392,2v00,3.66
393,3buh,3.66
394,3oy8,3.66
395,3pcn,3.66
396,3t2q,3.66
397,4aia,3.66
398,4fl2,3.66
399,4cig,3.67
400,4ibd,3.67
401,1c3x,3.68
402,2x6x,3.68
403,3ioc,3.68
404,3isj,3.68
405,4aje,3.68
406,4io7,3.68
407,4isu,3.68
